UUID,No. of packing 5 colors
5be9daec-de25-4ed4-98dd-c6ca29c4318f,414
221fb7f1-e561-4481-8d60-f53831216169,134
27057f0d-2cfc-494f-b8b4-9255a606bc1b,834
2fe4057b-c383-4ea8-bbff-87fb1eb22a57,826
705fecea-898c-4af9-8bca-6855e3d73177,6
be2a7a15-f57a-495b-a2ed-33b6c0f90527,0
f2f50a92-c221-4b6c-ac82-189b087d6db6,100
cf8d8e05-22f8-43e4-9be5-5dc30cb833cd,0
5f57ab5e-754b-4f1e-a70a-81c26c67d251,0
cd32fee0-ca60-459d-9236-0099a30b39b3,124
9dbb33ff-d83d-40e6-9dae-4854644fdaea,354
fdbb9db1-0009-41dd-9547-954e855ca255,0
c7733926-f436-4769-a770-4904c2a7836e,178
33e20e4d-0d25-41d7-994b-761222308df8,6
5df5c011-c6c3-45ec-9513-074363bed907,48
1f4cb1cd-6b51-4d02-b4d8-f62c2a54167b,60
8e18dcd9-ee43-4246-9441-9fd02badba7c,42
868fd9e1-50f2-473a-ba70-d928a3e26674,1962
9a86f5f3-91eb-4213-9847-d7a4c7187286,82
5b1c5767-feb4-4917-a0af-35b1c49b6f53,36
5ecdb9f6-730c-4f3e-a94e-de8332d3ffd1,1006
e2bc6eec-b516-4599-8447-707420669462,20
18c8ae20-682a-425a-9b48-457412fed513,624
b7c614da-ec68-4681-afe0-afe6d4b1e849,78
b4320f9a-f423-4dc4-be72-e25708bcb88f,98
f9b7629b-f4e1-472d-b16a-97eb0f6d832d,544
81292046-2b24-4648-82fa-d6ba0ded9039,1888
7833b990-87a6-4ccb-8329-8259591fa173,847
433e557e-9867-4fce-9fbd-bfa25c2026e0,18
cb10c1df-3014-4fe6-943e-60bfa08ea82c,98
9025c7dc-2ac6-4683-af12-fbd66db4c736,56
ca4ac275-463e-47ac-ae54-506b7b8fb0d7,202
704506a1-765d-4d57-bc86-5cf09713d957,70
3104ca32-1373-47b0-9ee7-86d161a35e0e,6
bc2d888b-d7bc-4765-a421-d3944c539a34,12
d4dab378-3568-47db-9fb9-e8636f8cf60f,50
1ce64584-f24a-4b86-9749-c75d13dd1d27,280
525e010e-cf20-4a99-854f-55fbe40b10f9,60
30ea0012-d3f9-4349-9453-25606170bba8,716
cb4631fa-c438-44b2-bb24-f4a853a55985,437
23d3502b-8019-44be-9953-54b9471d2e76,52
3bf7c82e-528c-4db2-a0f0-a82578462e5f,152
99d0549a-cb16-4f20-a356-83df1f47640d,78
c5c5fd99-4d63-4ff1-88b8-fde66b4814f0,534
0b46c14c-a4e2-4aad-956b-18b56b403013,36
817572f0-e01a-46a0-a226-cec0f29fefcf,6
13fa344d-0351-4672-a4af-b6a6e739f683,6
eaa21e88-e617-4000-8b23-d913a0fd2121,90
0e84920e-4b10-4de2-8db3-8e7ce78a35b8,0
0a931f24-d850-49b1-b240-0cbf8fb331d8,68
a9e5971b-fa62-4414-90ae-a9208f5f1bc9,16
939fb5f8-fdce-4d72-83da-dd64309cdb6d,6
e09e27bd-efb8-40ef-a649-022c15ea6362,141
c78e0f3a-2710-4566-b42a-192de4927314,1864
e361efc3-4983-459f-a30d-3771bdbfb380,650
e7444034-8a94-4301-b6ff-8fdde7434330,1224
3f537858-b5a5-4b1c-983a-03f51ee1e2d8,424
b191f706-5c56-42af-96a6-a5ddc8b006bf,12
68433e06-70f3-4a98-932d-0435e62701a4,172
ae403b77-4bc6-4137-884e-2e902903d626,476
32e9bba1-1d87-4ad7-8fa2-9de36b0ea34b,106
2d2e089a-3c37-4853-923e-f2a2a8ad9e22,1028
ad7b564e-0519-4958-a02e-3d530f44c7eb,444
2e5f1952-b1d4-490b-ac69-ea6c30ddcdf8,16
7cd152ba-cd9a-4e8f-aec7-3eadbda5957a,518
d79199ef-4437-423d-9347-1f589c318aee,0
71c8af03-d4f8-4065-bedd-2f17ac62a0c3,64
9a7377ab-4598-46f3-a2a6-28fa4098ef3e,20
e2f8c69d-2d10-4cf9-bb32-ac8bddca6fe5,3366
13d7d62a-7b84-4f99-a11d-8a94ad500f50,116
ee234f08-2a21-41e3-8e7f-a156b87e713c,6
60c00e5a-001c-4ecf-b787-153acdaa2dc4,138
fe4144e9-684e-4b5b-a206-de8963982b90,0
4d8969d6-d094-48b8-a8dd-1df8d3887358,0
ac6f54e6-108b-43df-b34c-46273030db11,0
4bf6fc7f-9113-474d-a702-84f9efaedc7a,178
d5977d94-6c5c-49d7-9c29-777fe86538d6,94
8bb20238-b4f1-4113-b8f4-4b9197e7412b,38
