UUID,"[Number of vertices, Number of edges]",Edge Set
92e68c93-a1fd-42a5-b5e9-61e57dfc0198,"[6, 7]","[(0, 2), (0, 3), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5)]"
f37fb367-e2e8-4e3f-b1b2-b46182f8cfe3,"[6, 7]","[(0, 1), (0, 2), (1, 5), (2, 3), (2, 5), (3, 4), (4, 5)]"
de307ae6-7bfb-41b7-8150-f0cdcf1e80b0,"[6, 10]","[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 5), (2, 3), (2, 4), (4, 5)]"
9b4f9455-ffde-4b6a-805b-983890fc30b2,"[6, 10]","[(0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5)]"
83d57570-73cb-4720-8101-1e367169d902,"[6, 10]","[(0, 1), (0, 3), (0, 4), (1, 3), (1, 4), (1, 5), (2, 3), (2, 5), (3, 4), (3, 5)]"
a6c621f0-384b-4df0-a8d1-5203fe3878e4,"[6, 10]","[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 5), (3, 5)]"
147e22df-55f2-403e-9bb3-d5b20e384934,"[6, 9]","[(0, 2), (0, 3), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 5)]"
15a0324a-707f-4744-b408-da501a76ae68,"[6, 10]","[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]"
9ef646eb-2ede-43c3-8b54-f521ef594e28,"[6, 9]","[(0, 1), (0, 5), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5)]"
1bfaef7b-19a1-4c9f-bf9d-5dbb1dc09e22,"[6, 9]","[(0, 3), (0, 4), (0, 5), (1, 2), (1, 5), (2, 4), (3, 4), (3, 5), (4, 5)]"
0b6ef619-0c87-4379-9618-6e996f6ec4d8,"[7, 10]","[(0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4), (4, 5), (4, 6), (5, 6)]"
99fdc4d6-974f-4c2a-bbd1-06cdc0fdb4dc,"[7, 9]","[(0, 1), (0, 2), (0, 6), (1, 2), (1, 3), (1, 6), (2, 4), (2, 6), (5, 6)]"
3f7c8075-6334-445e-aa1f-a29499d0d433,"[7, 8]","[(0, 2), (1, 2), (1, 5), (1, 6), (2, 3), (2, 4), (2, 6), (3, 4)]"
fa538d37-2f60-4625-8d39-497f1117a062,"[7, 9]","[(0, 2), (0, 4), (0, 5), (0, 6), (1, 3), (2, 4), (3, 5), (3, 6), (4, 5)]"
4d140c1f-24ba-460e-85d0-8b6dc4b2f678,"[7, 10]","[(0, 2), (0, 3), (0, 5), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (3, 5), (4, 5)]"
1d550a92-cf72-44dc-bb58-0d3992eb9cf4,"[7, 8]","[(0, 2), (0, 4), (0, 6), (1, 3), (1, 4), (1, 5), (3, 4), (3, 6)]"
17bb4a04-e1a1-42d7-823a-83facec02414,"[7, 9]","[(0, 1), (0, 5), (1, 2), (1, 4), (1, 6), (3, 4), (3, 5), (4, 6), (5, 6)]"
0d652f02-0583-4e01-84f8-59a40c9c481f,"[7, 10]","[(0, 3), (0, 4), (0, 5), (1, 2), (2, 3), (2, 4), (3, 4), (3, 5), (4, 6), (5, 6)]"
1992b8c4-c8d1-41c2-9157-e45201f3054c,"[7, 9]","[(0, 1), (0, 3), (1, 4), (1, 5), (1, 6), (2, 5), (3, 4), (3, 6), (5, 6)]"
a5ea192a-e95d-4f96-b6d0-fe532bbcad30,"[7, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (2, 5), (4, 5), (5, 6)]"
83ef1782-5a58-4ede-9624-e01d83a65041,"[8, 11]","[(0, 5), (0, 6), (1, 2), (1, 7), (2, 4), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
9ba9beca-6a34-4f44-aa03-ac45729859c4,"[8, 11]","[(0, 1), (0, 2), (0, 4), (0, 5), (0, 6), (1, 5), (2, 3), (2, 7), (3, 5), (3, 7), (5, 7)]"
bd462ee3-11ee-433a-a343-dbff0506d087,"[8, 9]","[(0, 1), (0, 2), (0, 6), (1, 4), (1, 7), (2, 6), (3, 4), (3, 5), (5, 7)]"
06b4a1da-e70f-4654-8fea-c8e0c70a2c46,"[8, 10]","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 4), (5, 7)]"
405e5a35-0a7b-496d-8f96-8d2f39c26afa,"[8, 11]","[(0, 7), (1, 3), (1, 4), (1, 5), (1, 6), (2, 4), (2, 6), (3, 5), (3, 7), (4, 6), (5, 6)]"
32a5173f-1ba6-474b-a69e-1aaa73876aea,"[8, 11]","[(0, 1), (0, 3), (0, 5), (1, 4), (1, 5), (1, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6)]"
9b4e53bc-91a0-49d3-b534-4c5342e939c8,"[8, 12]","[(0, 4), (0, 5), (0, 6), (1, 3), (1, 7), (2, 3), (2, 4), (2, 5), (3, 5), (3, 7), (4, 6), (4, 7)]"
c2b9bb0a-9c48-49f9-b687-d1427603fc1c,"[8, 12]","[(0, 1), (0, 5), (0, 6), (0, 7), (1, 2), (1, 6), (2, 3), (2, 5), (2, 7), (3, 7), (4, 7), (5, 6)]"
f2645cb0-56c8-46bc-9e07-acc3b8a0f86d,"[8, 11]","[(0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (3, 5), (4, 7)]"
dd590ca2-19fa-4b53-b610-008b101c3006,"[8, 12]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 6), (2, 7), (3, 6), (6, 7)]"
a303f541-7cbc-4f8a-bd88-ffbd8e4dafaa,"[9, 10]","[(0, 2), (0, 7), (0, 8), (1, 3), (1, 4), (2, 4), (2, 6), (4, 5), (4, 6), (4, 8)]"
8377d247-52ac-40a2-b982-7dfe617f6a35,"[9, 11]","[(0, 1), (0, 5), (0, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 5), (5, 6), (5, 7), (5, 8)]"
e557045e-3f4b-4849-8dda-8cea77360880,"[9, 13]","[(0, 1), (0, 2), (0, 5), (0, 8), (1, 6), (1, 8), (2, 3), (2, 8), (3, 4), (3, 7), (3, 8), (4, 6), (5, 8)]"
30e526b0-fc17-4e0a-9f03-cb07cc1f2261,"[9, 12]","[(0, 1), (0, 8), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 8), (3, 5), (4, 5)]"
924d7d1e-6af3-4b5d-9f11-753a61125e56,"[9, 10]","[(0, 4), (0, 7), (1, 2), (1, 7), (1, 8), (2, 7), (3, 6), (4, 7), (5, 6), (6, 7)]"
6c23fc1d-3a0d-42dc-8507-f26225486ed5,"[9, 11]","[(0, 5), (0, 8), (1, 3), (1, 7), (2, 4), (3, 4), (3, 6), (3, 7), (4, 6), (6, 7), (6, 8)]"
f40df82b-6c1a-434a-87b4-f18151b62562,"[9, 13]","[(0, 1), (0, 2), (0, 4), (0, 7), (1, 5), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (4, 5), (4, 8), (6, 7)]"
e775229b-d3cf-4431-90e5-499818c4c0c5,"[9, 12]","[(0, 3), (0, 5), (0, 7), (0, 8), (1, 3), (1, 5), (1, 7), (2, 4), (2, 6), (2, 8), (4, 5), (4, 6)]"
edca8bc1-d58e-4bee-b108-318a505b1b97,"[9, 12]","[(0, 7), (0, 8), (1, 5), (1, 7), (2, 3), (2, 5), (3, 4), (3, 8), (4, 6), (5, 6), (5, 8), (7, 8)]"
72a4b813-1440-4b0c-9177-4e9ad549827a,"[9, 11]","[(0, 7), (0, 8), (1, 4), (1, 7), (1, 8), (2, 5), (2, 6), (2, 7), (2, 8), (3, 6), (7, 8)]"
0fb038d7-317e-44df-a3dc-6e55ace5411e,"[10, 13]","[(0, 1), (0, 4), (0, 5), (0, 8), (1, 2), (1, 3), (1, 7), (2, 3), (2, 4), (4, 8), (6, 7), (6, 9), (7, 8)]"
fa7cbdc9-9bba-4b31-89ab-23bc7e23336a,"[10, 14]","[(0, 2), (0, 7), (1, 5), (1, 9), (2, 5), (3, 8), (3, 9), (4, 6), (4, 7), (5, 7), (5, 8), (7, 8), (7, 9), (8, 9)]"
90341249-a091-48f5-be67-b8eeac1d2228,"[10, 13]","[(0, 7), (0, 8), (1, 2), (1, 7), (1, 8), (1, 9), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (5, 9)]"
c48eed38-486d-4567-a408-56b9feebd239,"[10, 12]","[(0, 5), (0, 6), (0, 7), (1, 3), (1, 7), (2, 3), (3, 6), (4, 5), (4, 8), (7, 8), (7, 9), (8, 9)]"
55ea7f50-cbb5-48d7-94ac-5ada85a2f0a5,"[10, 12]","[(0, 2), (0, 6), (0, 8), (0, 9), (1, 2), (2, 3), (2, 5), (3, 4), (4, 5), (5, 8), (6, 9), (7, 8)]"
3bbcd49f-fe55-4b73-b1c5-fe41e3435753,"[10, 13]","[(0, 4), (0, 7), (1, 3), (1, 7), (2, 6), (2, 9), (4, 7), (4, 8), (4, 9), (5, 6), (5, 9), (6, 8), (7, 8)]"
6a6fdd1f-ed87-4ea7-bdcb-1a2b4a6b29fc,"[10, 11]","[(0, 1), (0, 2), (1, 4), (2, 6), (2, 8), (3, 4), (3, 8), (3, 9), (5, 9), (6, 7), (6, 9)]"
2afb7790-53b0-463f-97bc-a01630743e88,"[10, 13]","[(0, 1), (0, 2), (0, 8), (1, 3), (2, 7), (2, 9), (3, 4), (3, 5), (4, 5), (5, 8), (6, 7), (6, 9), (7, 9)]"
26542a6e-f2e8-4bd7-a288-d6fcb8195c89,"[10, 12]","[(0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (2, 4), (3, 7), (3, 9), (4, 5), (4, 6), (4, 8), (7, 8)]"
5d142f49-0fc0-4ca1-8b41-d13a5bc24e4c,"[10, 14]","[(0, 8), (0, 9), (1, 9), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (3, 8), (4, 8), (5, 9), (6, 7), (6, 9), (7, 8)]"
113e5762-7c62-4a8b-a2d0-88db0c5b4385,"[11, 12]","[(0, 1), (0, 7), (0, 9), (1, 3), (1, 8), (2, 7), (2, 10), (3, 4), (3, 5), (3, 6), (3, 9), (7, 8)]"
df2ad48a-b1d2-497f-a9e2-8eb52504d9ef,"[11, 14]","[(0, 6), (0, 9), (0, 10), (1, 2), (1, 4), (2, 9), (3, 9), (3, 10), (4, 7), (4, 8), (5, 6), (5, 10), (6, 10), (7, 8)]"
6a228001-e953-49be-ad17-431aa7046f0e,"[11, 15]","[(0, 2), (0, 9), (1, 6), (1, 7), (1, 8), (1, 9), (2, 5), (2, 10), (3, 7), (3, 8), (4, 9), (4, 10), (6, 9), (7, 9), (9, 10)]"
3f7f7657-6f17-4091-b050-0703f7425f3a,"[11, 14]","[(0, 9), (1, 3), (1, 5), (1, 10), (2, 3), (2, 8), (3, 5), (3, 8), (3, 9), (3, 10), (4, 5), (4, 9), (5, 6), (7, 9)]"
c214b26d-7705-4c6d-897f-4a2c50bd86dc,"[11, 13]","[(0, 1), (0, 8), (1, 3), (1, 7), (2, 6), (3, 5), (3, 9), (4, 6), (4, 10), (5, 6), (6, 9), (7, 8), (8, 10)]"
41a62448-4f42-44bb-b3be-75fd7a764c79,"[11, 15]","[(0, 1), (0, 3), (0, 4), (0, 8), (1, 5), (2, 10), (3, 5), (3, 7), (3, 9), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (8, 9)]"
673b0cf1-748a-4824-95f7-f2d4bfeb0262,"[11, 15]","[(0, 2), (0, 6), (1, 3), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (5, 6), (5, 8), (6, 8), (6, 10), (7, 8), (7, 10), (8, 9)]"
8df1ed9e-766f-40e1-ba2b-bcee0461a1f7,"[11, 12]","[(0, 4), (0, 8), (0, 10), (1, 5), (2, 8), (3, 4), (4, 6), (4, 8), (4, 10), (5, 7), (5, 9), (9, 10)]"
ee137052-e8b4-426f-9d03-dca9eb489863,"[11, 14]","[(0, 6), (0, 10), (1, 4), (1, 7), (2, 3), (2, 6), (3, 5), (3, 9), (4, 5), (4, 8), (5, 6), (5, 10), (6, 7), (7, 10)]"
4daaf8f1-344a-4a7f-9585-87a72b9eec66,"[11, 14]","[(0, 1), (0, 4), (1, 7), (1, 9), (2, 5), (2, 9), (3, 8), (3, 9), (3, 10), (4, 7), (4, 8), (5, 8), (6, 7), (6, 9)]"
37deed64-5ec9-42cb-a79b-992c0319795a,"[12, 13]","[(0, 9), (1, 3), (1, 9), (1, 11), (2, 5), (3, 4), (3, 10), (5, 6), (5, 9), (6, 7), (6, 11), (7, 10), (8, 11)]"
65ed8fc5-9ced-4ef4-aef3-4c6e897afe90,"[12, 14]","[(0, 8), (0, 10), (0, 11), (1, 2), (1, 6), (1, 7), (3, 8), (3, 10), (4, 8), (4, 9), (5, 11), (6, 9), (7, 8), (7, 11)]"
