UUID,"[Number of vertices, Number of edges]",Edge Set
4f5c781a-7603-4b0e-957f-a966d539afc7,"[8, 7]","[(0, 2), (0, 6), (1, 5), (1, 6), (3, 7), (4, 6), (4, 7)]"
662d86a8-bf50-4e2e-8c54-ee9f09129be5,"[8, 7]","[(0, 3), (0, 5), (1, 3), (1, 6), (2, 3), (2, 4), (6, 7)]"
9c13fa9f-9fa5-46a2-9c57-6736782f7fed,"[8, 7]","[(0, 5), (1, 3), (1, 5), (1, 7), (2, 3), (3, 6), (4, 7)]"
75a02fa3-6465-400c-a6d8-6f5d2181db54,"[8, 7]","[(0, 1), (0, 2), (1, 7), (2, 3), (3, 5), (4, 7), (6, 7)]"
2f3f12ca-4ecb-4cb3-be4c-1cc745482a3f,"[8, 7]","[(0, 1), (1, 5), (2, 3), (3, 6), (3, 7), (4, 7), (5, 6)]"
12a1823a-8445-4f36-817e-f50453f8bb8c,"[8, 7]","[(0, 2), (0, 4), (0, 6), (1, 2), (1, 5), (3, 4), (4, 7)]"
bc9a972f-4901-4708-80fd-0d614a794dce,"[8, 7]","[(0, 4), (0, 5), (1, 3), (1, 6), (2, 6), (5, 7), (6, 7)]"
c461dada-bee2-4fa8-881d-f6b8b3e7788a,"[8, 7]","[(0, 3), (1, 6), (2, 7), (3, 4), (3, 7), (4, 6), (5, 6)]"
2052dd63-c815-440a-81af-b18ab830e717,"[8, 7]","[(0, 4), (1, 2), (2, 4), (2, 5), (2, 6), (3, 6), (4, 7)]"
9e55ebbd-1d73-4c8a-a97b-808bbb3cd71e,"[8, 7]","[(0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (2, 6), (3, 5)]"
e108b836-5d6d-41f4-93ae-1ade632d2ac4,"[9, 8]","[(0, 4), (0, 6), (1, 3), (2, 8), (3, 5), (4, 8), (5, 6), (7, 8)]"
29980f31-fee3-47c9-8304-b8a1386e95aa,"[9, 8]","[(0, 2), (0, 7), (1, 5), (1, 6), (3, 7), (4, 8), (5, 7), (7, 8)]"
72d95cb4-5a34-44cf-a0fc-ad23950bd53f,"[9, 8]","[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (2, 3), (4, 6), (5, 6)]"
b4faea78-cee6-487d-867a-44a76a97049d,"[9, 8]","[(0, 2), (0, 8), (1, 5), (1, 6), (2, 7), (3, 5), (4, 6), (5, 7)]"
adb1db5f-10f0-4fce-992b-9b03674d1e4b,"[9, 8]","[(0, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 7), (4, 8), (5, 7)]"
3a48db5c-6899-4758-a734-a96f724ffd16,"[9, 8]","[(0, 1), (0, 2), (0, 5), (1, 7), (3, 4), (3, 8), (4, 5), (6, 7)]"
3b0e357d-5e20-4fed-968b-454bec964627,"[9, 8]","[(0, 2), (0, 4), (1, 6), (2, 3), (3, 8), (4, 5), (5, 6), (7, 8)]"
79ad4c60-1b48-42a1-98b2-0b99ccd941ea,"[9, 8]","[(0, 3), (0, 7), (1, 3), (2, 3), (2, 6), (2, 8), (4, 8), (5, 7)]"
15ef8d32-9df3-426e-8ecb-a57f09802177,"[9, 8]","[(0, 5), (1, 3), (1, 7), (1, 8), (2, 4), (2, 5), (2, 7), (3, 6)]"
69091375-571b-4860-88f3-b9b44337b5d7,"[9, 8]","[(0, 4), (1, 2), (1, 8), (2, 4), (2, 5), (3, 8), (4, 6), (5, 7)]"
b5b65c3d-b84d-46f7-8eda-7d71e0a23b7d,"[10, 9]","[(0, 3), (0, 8), (1, 4), (1, 6), (1, 8), (2, 9), (5, 7), (6, 9), (7, 8)]"
5a7cbc4c-b11a-47a5-bf3c-5b15f5585f14,"[10, 9]","[(0, 7), (1, 4), (1, 8), (2, 8), (3, 7), (5, 8), (6, 7), (7, 9), (8, 9)]"
78a8e87f-4d12-4a74-b231-956f33d68dd4,"[10, 9]","[(0, 5), (1, 2), (1, 6), (3, 6), (3, 9), (4, 5), (5, 7), (6, 8), (7, 9)]"
f20cb51d-c49e-4120-9448-36f70cf955df,"[10, 9]","[(0, 9), (1, 2), (1, 7), (2, 5), (3, 4), (3, 6), (6, 7), (6, 9), (7, 8)]"
8a108419-11dd-4245-ae0c-a54bb99529ae,"[10, 9]","[(0, 2), (0, 8), (1, 3), (1, 5), (1, 9), (2, 4), (2, 7), (3, 6), (3, 7)]"
9f170450-2210-4586-aaf5-871ea1f110d6,"[10, 9]","[(0, 2), (0, 9), (1, 9), (3, 5), (3, 8), (3, 9), (4, 7), (6, 9), (7, 9)]"
0b9edb6f-643c-4484-85bc-8686ea3a833c,"[10, 9]","[(0, 5), (0, 8), (0, 9), (1, 6), (2, 3), (3, 4), (3, 6), (3, 9), (7, 9)]"
